# ln(P)                  Mass, $M/M_{\odot}$    Metallicity, $\log_{10}\left(Z_0\right)$ Age (in Myrs), $t$    
  -9.508324459570760e+03  1.010276642454337e+00 -1.756981326943893e+00  3.805763416181782e+03
  -9.508324459570760e+03  1.010276642454337e+00 -1.756981326943893e+00  3.805763416181782e+03
  -9.509876836693769e+03  1.010443855270689e+00 -1.756994352302634e+00  3.798104344319330e+03
  -9.508983988301803e+03  1.010347852869496e+00 -1.756992195305398e+00  3.802436909431176e+03
  -9.508910081770404e+03  1.010267522008218e+00 -1.756985912854776e+00  3.806223250135482e+03
  -9.508913425608976e+03  1.010264391503688e+00 -1.756985991423107e+00  3.806367386910422e+03
  -9.508913425608976e+03  1.010264391503688e+00 -1.756985991423107e+00  3.806367386910422e+03
  -9.509789333552339e+03  1.010293639321971e+00 -1.756985748894849e+00  3.805100358266185e+03
  -9.509467004706979e+03  1.010196895135387e+00 -1.756983653648998e+00  3.809543508952915e+03
  -9.509450418135129e+03  1.010140536352529e+00 -1.756981400032551e+00  3.812151628201163e+03
  -9.509450418135129e+03  1.010140536352529e+00 -1.756981400032551e+00  3.812151628201163e+03
  -9.510851912696697e+03  1.010204078648812e+00 -1.756985458978704e+00  3.809280799693266e+03
  -9.510543507035372e+03  1.009935394170408e+00 -1.756976691604336e+00  3.821750647878619e+03
  -9.510543507035372e+03  1.009935394170408e+00 -1.756976691604336e+00  3.821750647878619e+03
  -9.509888035277050e+03  1.010041759823922e+00 -1.756977612946504e+00  3.816742532393634e+03
  -9.509888035277050e+03  1.010041759823922e+00 -1.756977612946504e+00  3.816742532393634e+03
  -9.508709296969979e+03  1.009625505337072e+00 -1.757033203712166e+00  3.835743292235119e+03
  -9.509352718426533e+03  1.009530753085528e+00 -1.757043936523919e+00  3.840206734118606e+03
  -9.509352718426533e+03  1.009530753085528e+00 -1.757043936523919e+00  3.840206734118606e+03
  -9.510788546667163e+03  1.009401813591783e+00 -1.757061478212887e+00  3.846283357147362e+03
  -9.511818767272023e+03  1.010151650077646e+00 -1.757127380564401e+00  3.810434589226392e+03
  -9.512466779190101e+03  1.010627021933693e+00 -1.757049038234020e+00  3.789154314571982e+03
  -9.510601591897303e+03  1.010356297135788e+00 -1.757048238267573e+00  3.801585016046854e+03
  -9.510013812057645e+03  1.010352595757906e+00 -1.757029574431264e+00  3.801886591997653e+03
  -9.510013812057645e+03  1.010352595757906e+00 -1.757029574431264e+00  3.801886591997653e+03
  -9.512127590258247e+03  1.010719159764113e+00 -1.757020002337418e+00  3.785142724855968e+03
  -9.515349820910633e+03  1.006958348944583e+00 -1.757151871613981e+00  3.961273781433037e+03
  -9.509408622473984e+03  1.009646059192580e+00 -1.756970861635632e+00  3.834842647302362e+03
  -9.508773154728820e+03  1.009700041903894e+00 -1.756974154694800e+00  3.832305274464329e+03
  -9.508748401214792e+03  1.009702339488651e+00 -1.756974294852313e+00  3.832197280089596e+03
  -9.507922860313354e+03  1.009764523872278e+00 -1.756974776947521e+00  3.829306628435817e+03
  -9.508192849689827e+03  1.009946599305094e+00 -1.756975060785184e+00  3.820653967835678e+03
  -9.509101797722389e+03  1.009933219850923e+00 -1.756973327333314e+00  3.821239832256855e+03
  -9.507649417794528e+03  1.009416796436908e+00 -1.756992908378375e+00  3.845846257197110e+03
  -9.507881197072080e+03  1.009599987164276e+00 -1.756990149517526e+00  3.837310989231810e+03
  -9.507969814523407e+03  1.009499077654646e+00 -1.756996123785496e+00  3.842022482585641e+03
  -9.513387388359708e+03  1.010762155851176e+00 -1.757020209931703e+00  3.783089615965937e+03
  -9.513387388359708e+03  1.010762155851176e+00 -1.757020209931703e+00  3.783089615965937e+03
  -9.513387388359708e+03  1.010762155851176e+00 -1.757020209931703e+00  3.783089615965937e+03
  -9.512490879346129e+03  1.009069455934596e+00 -1.757081479438166e+00  3.861951725233847e+03
  -9.511256123812134e+03  1.009212819745966e+00 -1.757057678766979e+00  3.855290715345148e+03
  -9.509177530178040e+03  1.009164865901576e+00 -1.757020936245846e+00  3.857708220770793e+03
  -9.511173473724813e+03  1.009116925449579e+00 -1.757040839013215e+00  3.859967526218648e+03
  -9.510151159941664e+03  1.009788851932817e+00 -1.757030578230961e+00  3.828214377861203e+03
  -9.510803448431381e+03  1.008357877406843e+00 -1.757038379162797e+00  3.895886688436341e+03
  -9.510389673250600e+03  1.008133442903956e+00 -1.757039764136384e+00  3.906433729025859e+03
  -9.510389673250600e+03  1.008133442903956e+00 -1.757039764136384e+00  3.906433729025859e+03
  -9.510389673250600e+03  1.008133442903956e+00 -1.757039764136384e+00  3.906433729025859e+03
  -9.510374864196756e+03  1.008170972966587e+00 -1.757040661321918e+00  3.904645170510548e+03
  -9.510374864196756e+03  1.008170972966587e+00 -1.757040661321918e+00  3.904645170510548e+03
  -9.510388812570771e+03  1.007822084875145e+00 -1.757020566447685e+00  3.921381907831491e+03
  -9.509438257902961e+03  1.008910930385100e+00 -1.757036818363062e+00  3.869512246006528e+03
  -9.509438257902961e+03  1.008910930385100e+00 -1.757036818363062e+00  3.869512246006528e+03
  -9.509884481041130e+03  1.008724058739727e+00 -1.757044743491835e+00  3.878286605393329e+03
  -9.510074365631963e+03  1.008634253225805e+00 -1.757049192233393e+00  3.882530339410625e+03
  -9.512825424244784e+03  1.007389963843788e+00 -1.757054577067707e+00  3.941342883389262e+03
  -9.514271564672925e+03  1.006836718982219e+00 -1.757045666231814e+00  3.967606754886841e+03
  -9.506796444455444e+03  1.009988763477091e+00 -1.756970129734373e+00  3.819030333145340e+03
  -9.507367996398960e+03  1.009719700142842e+00 -1.756983987224472e+00  3.831654626401881e+03
  -9.507367996398960e+03  1.009719700142842e+00 -1.756983987224472e+00  3.831654626401881e+03
  -9.506319303001472e+03  1.009943308890384e+00 -1.756963759933776e+00  3.821156143839526e+03
  -9.506319303001472e+03  1.009943308890384e+00 -1.756963759933776e+00  3.821156143839526e+03
  -9.506319303001472e+03  1.009943308890384e+00 -1.756963759933776e+00  3.821156143839526e+03
  -9.506319303001472e+03  1.009943308890384e+00 -1.756963759933776e+00  3.821156143839526e+03
  -9.506319303001472e+03  1.009943308890384e+00 -1.756963759933776e+00  3.821156143839526e+03
